# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1152.16,0.0145507,0.125,2,3,0,1153.34,-1.79009,0.815163,6.11568,3.91863,0.288515,0.711485
-1152.16,0,2.39767,0,1,1,1153.81,-1.79009,0.815163,6.11568,3.91863,0.288515,0.711485
-1152.16,1.62332e-220,0.238269,1,1,0,1153.68,-1.79009,0.815163,6.11568,3.91863,0.288515,0.711485
-1151.1,0.997232,0.0173545,3,7,0,1153.03,-1.78906,0.826363,6.01068,3.86506,0.285634,0.714366
-1133.86,0.993043,0.019265,4,15,0,1153.88,-1.48059,1.08266,5.37921,3.67033,0.238338,0.761662
-1094.33,0.993599,0.0260985,5,31,0,1137.51,-1.30695,2.05021,5.70147,3.59933,0.110141,0.889859
-1090.46,1,0.0402119,3,7,0,1095.26,-1.28274,2.38625,5.41459,3.53495,0.11899,0.88101
-1083.46,0.658587,0.068388,4,15,0,1092.79,-1.59534,3.35393,0.662987,3.41988,0.0769527,0.923047
-1080.01,0.892125,0.0417899,5,63,0,1088.13,1.22409,2.96321,2.6962,3.79254,0.106108,0.893892
-1080.07,0.974927,0.0544393,5,55,0,1083.05,1.14573,3.01481,2.6905,3.6891,0.0976995,0.9023
-1080.07,0.0478247,0.093974,1,1,0,1080.25,1.14573,3.01481,2.6905,3.6891,0.0976995,0.9023
-1076.48,0.999923,0.00877954,7,191,0,1083.22,-0.321707,3.27855,0.975981,3.56046,0.157375,0.842625
-1076.5,0.930759,0.0168307,5,31,0,1080.66,-0.563697,2.97222,1.53461,3.30233,0.118758,0.881242
-1080.18,0.971547,0.0260861,6,95,0,1082.31,1.46114,3.57525,2.11842,3.83129,0.520778,0.479222
-1079.47,0.991197,0.0460145,3,15,0,1083.85,1.53966,3.72033,3.45253,4.00739,0.488124,0.511876
-1077.22,0.786447,0.0860812,2,3,0,1079.1,1.57174,3.67127,3.37217,3.62899,0.482395,0.517605
-1072.7,0.975042,0.0853302,3,15,0,1078.5,0.934728,3.82388,2.46536,3.72689,0.493257,0.506743
-1072.7,0.0258808,0.150865,2,5,1,1076.62,0.934728,3.82388,2.46536,3.72689,0.493257,0.506743
-1072.44,0.999296,0.0149243,5,31,0,1073.31,0.965497,3.87468,2.51555,3.62699,0.478281,0.521719
-1074.98,0.981295,0.0286263,6,95,0,1076.14,-0.703144,2.79582,1.33883,3.5771,0.143985,0.856015
-1079.39,0.94641,0.0515723,3,7,0,1080.17,-0.926758,2.52157,1.83548,3.58677,0.157947,0.842053
-1077.25,0.0802225,0.0830863,4,15,0,1081.87,-0.804662,2.62128,1.71183,3.64323,0.141287,0.858713
-1075.58,0.975515,0.0104891,4,31,0,1080.93,-0.733002,2.77559,1.6705,3.59394,0.156583,0.843417
-1075.99,0.998238,0.0185201,5,63,0,1077.54,-0.772521,2.6683,1.34165,3.53337,0.133675,0.866325
-1073.38,0.956876,0.0345994,5,47,0,1078.81,-0.509413,3.62102,2.06884,3.33766,0.241781,0.758219
-1072.84,0.892841,0.0568517,4,31,0,1074.38,-0.0656109,3.45817,1.82536,3.41237,0.316531,0.683469
-1073,0.139565,0.0772859,4,15,0,1075.98,-0.203696,3.54537,2.29452,3.29316,0.285949,0.714051
-1072.12,0.999514,0.0126016,4,31,0,1075.91,-0.252312,3.60531,2.08068,3.38218,0.280209,0.719791
