# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = finite_mixture_model
# start_datetime = 2025-08-06 02:53:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 50
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 8
# data
#   file = /tmp/tmpfhbldy6n/c80bfik9.json
# init = 2 (Default)
# random
#   seed = 66806
# output
#   file = /home/cph/y/mcmc-monitor/examples/example-output/finite-mixture-1/finite-mixture-20250806105328_8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=finite-mixture.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,sigma.1,sigma.2,Theta.1,Theta.2
-1116.57,1,0.03125,2,3,0,1168.21,-0.0472324,1.70499,0.274216,3.24619,0.12953,0.87047
-1116.57,0,14.3855,0,1,1,1117.53,-0.0472324,1.70499,0.274216,3.24619,0.12953,0.87047
-1116.57,0,2.43117,0,1,1,1117.33,-0.0472324,1.70499,0.274216,3.24619,0.12953,0.87047
-1116.57,0,0.239791,0,1,1,1116.98,-0.0472324,1.70499,0.274216,3.24619,0.12953,0.87047
-1106.71,1,0.0186273,3,7,0,1118.51,-0.149568,1.9689,0.252123,4.27832,0.105592,0.894408
-1093.44,0.972974,0.0257257,7,127,0,1111,-3.51943,2.19637,2.81666,4.00174,0.00314142,0.996859
-1091.67,0.967554,0.0371974,2,3,0,1094.74,-3.40458,2.20681,2.80013,3.2493,0.00337002,0.99663
-1076.85,1,0.0571105,6,63,0,1092.91,0.2643,3.37725,1.39602,3.39304,0.185283,0.814717
-1076.85,2.02642e-05,0.101866,2,3,0,1078.73,0.2643,3.37725,1.39602,3.39304,0.185283,0.814717
-1074.26,0.999304,0.00796638,6,63,0,1078.23,0.290973,3.09337,1.848,3.99219,0.264529,0.735471
-1074.64,0.998965,0.0148141,6,95,0,1078.79,0.415573,3.92487,2.22108,3.30509,0.30745,0.69255
-1073.34,0.973336,0.0279787,4,31,0,1078.42,0.158016,3.74837,2.60547,3.32184,0.344437,0.655563
-1073.86,0.993713,0.0491562,4,23,0,1074.91,0.211001,3.3002,2.37388,3.65468,0.222128,0.777872
-1072.92,0.567565,0.0923738,2,5,0,1076.32,0.290478,3.11677,2.09905,3.57428,0.218434,0.781566
-1072.44,0.90698,0.0459163,5,31,0,1074.08,-0.308358,3.42664,2.10865,3.50205,0.274154,0.725846
-1073.55,0.198186,0.0661704,5,31,0,1077.91,0.815131,3.85829,2.42501,3.37479,0.4905,0.5095
-1072.48,0.999313,0.0107538,4,15,0,1074.11,0.823396,3.83979,2.4786,3.64119,0.49068,0.50932
-1072.03,0.987269,0.0207922,6,79,0,1073.93,0.414583,3.69727,2.31868,3.77206,0.380185,0.619815
-1071.83,0.985144,0.0384747,2,7,0,1073.93,0.409557,3.68616,2.14923,3.72924,0.384651,0.615349
-1071.49,0.889466,0.0701892,5,31,0,1072.44,-0.0126202,4.09904,2.28634,3.23645,0.38421,0.61579
-1072.95,0.624546,0.0954591,3,7,0,1073.72,0.202475,4.25825,1.97665,3.2942,0.38641,0.61359
-1072.58,0.986348,0.0590777,3,7,0,1073.87,0.00457431,4.20848,2.51635,3.18844,0.417113,0.582887
-1076.17,0.253264,0.106539,2,7,0,1076.96,-0.0679312,4.21538,2.81532,3.32298,0.446439,0.553561
-1074.82,0.979918,0.0226019,4,31,0,1084.06,-0.336785,4.48261,2.39516,3.10374,0.475824,0.524176
-1071.9,0.968107,0.0399857,4,15,0,1077.29,0.0594433,4.77939,2.17781,3.00927,0.446331,0.553669
-1072,0.960051,0.0677608,5,31,0,1073.29,0.947279,4.84786,2.72913,3.4197,0.591471,0.408529
-1071.5,0.316688,0.111268,4,15,0,1072.75,0.0332131,4.36201,2.22558,3.16237,0.403541,0.596459
-1077.99,0.741541,0.0297448,3,7,0,1079.35,-0.110821,4.33034,2.3302,3.95101,0.429076,0.570924
-1076.14,0.99273,0.0265491,4,15,0,1081.48,-0.0238155,4.43971,2.0996,2.72312,0.502579,0.497421
-1075.19,1,0.0475145,2,3,0,1076.8,-0.00762408,4.44301,2.15557,2.73975,0.491845,0.508155
-1071.24,1,0.0859124,2,3,0,1073.88,0.214556,4.50306,2.44846,3.25394,0.461042,0.538958
-1071.24,0.000941924,0.153828,1,3,1,1072.38,0.214556,4.50306,2.44846,3.25394,0.461042,0.538958
-1070.78,0.998855,0.0184962,6,127,0,1072.24,0.259057,4.51405,2.33626,3.25796,0.475979,0.524021
-1070.91,0.999852,0.0331131,7,151,0,1071,1.16638,6.65653,2.64978,2.49983,0.750146,0.249854
-1072.17,0.653638,0.0588789,6,87,0,1074.52,0.481126,4.16088,2.43976,3.27503,0.407415,0.592585
-1074.13,0.940892,0.0417396,5,63,0,1079.56,0.957341,5.61158,2.84271,3.13085,0.601584,0.398416
-1073.11,1,0.0629332,3,11,0,1076.83,0.645162,5.79076,2.16841,2.7136,0.597647,0.402353
-1072.56,0.678984,0.109856,3,15,0,1074,0.889774,5.83764,2.517,2.56157,0.716057,0.283943
-1072.98,0.79837,0.0833481,5,39,0,1075.74,1.5833,7.29693,2.82204,2.60505,0.790995,0.209005
-1072.98,0.0787221,0.0860792,3,15,0,1075.88,1.5833,7.29693,2.82204,2.60505,0.790995,0.209005
-1072.73,0.995514,0.0143866,4,31,0,1074.37,1.41875,7.3496,2.60659,1.94039,0.808337,0.191663
-1074.11,0.99201,0.0246766,4,31,0,1075.07,1.35419,7.14889,2.70125,2.5586,0.843044,0.156956
-1074.02,0.979953,0.0416185,4,31,0,1075.85,1.16723,7.30416,2.70716,2.00655,0.739592,0.260408
-1073.04,0.951739,0.0676006,4,31,0,1077.15,1.24726,7.44601,2.66912,2.35316,0.834006,0.165994
-1072.83,0.339772,0.101721,1,3,0,1073.81,1.27312,7.40292,2.68043,2.47396,0.826904,0.173096
-1074.57,0.930766,0.0341956,5,51,0,1077.39,1.73048,8.31163,3.09633,1.7641,0.851087,0.148913
